date,latitude,longitude,wind_speed,central_pressure,basin
2020-11-16 12:00:00,-16.3000,72.1000,55,983,SI
2020-08-11 18:00:00,21.7000,-114.800,90,971,EP
2020-07-31 12:00:00,17.2417,112.000, ,996,WP
2021-01-21 00:00:00,-12.3500,97.7500,40,995,SI
2021-01-23 18:00:00,-21.5429,32.2857,30, ,SI
2023-10-03 09:00:00,11.7351,-106.865, , ,EP
2022-06-22 03:00:00,13.0225,-102.022, , ,EP
2023-05-25 12:00:00,14.7000,141.600, , ,WP
2020-10-19 15:00:00,23.4425,138.842, , ,WP
2022-12-31 15:00:00,-33.1196,68.8284, , ,SI
2024-03-17 15:00:00,-17.2500,112.765, , ,SI
2024-02-21 18:00:00,-15.7000,121.700, , ,SI
2022-09-14 00:00:00,28.3000,162.200, , ,WP
2023-07-30 06:00:00,19.5000,132.700, , ,WP
2022-10-21 15:00:00,16.3075,-104.400, , ,EP
2022-01-31 21:00:00,-16.1271,62.4947, , ,SI
2021-10-04 06:00:00,58.2000,168.550, ,964,WP
2022-07-07 15:00:00,34.4868,146.193, , ,WP
2021-03-02 21:00:00,-14.1800,64.3100, , ,SI
2023-02-13 12:00:00,-15.4000,94.6000, , ,SI
